################################################################################
#  Typename                PDGID           Name              TeX-Name
################################################################################
0  Unidentified            0               uid               uid
91 Pythia-String           91              py-string1        string1
92 Pythia-String           92              py-string2        string2
11 Light_I=1_Meson         10111           a0(1450)0         a_{0}(1450)^{0}
11 Light_I=1_Meson         10211           a0(1450)+         a_{0}(1450)^{+}
11 Light_I=1_Meson         9010111         pi(1800)0         \pi(1800)^{0}
11 Light_I=1_Meson         9010211         pi(1800)+         \pi(1800)^{+}
11 Light_I=1_Meson         113             rho(770)0         \rho(770)^{0}
11 Light_I=1_Meson         213             rho(770)+         \rho(770)^{+}
11 Light_I=1_Meson         10113           b1(1235)0         b_{1}(1235)^{0}
11 Light_I=1_Meson         10213           b1(1235)+         b_{1}(1235)^{+}
11 Light_I=1_Meson         20113           a1(1260)0         a_{1}(1260)^{0}
11 Light_I=1_Meson         20213           a1(1260)+         a_{1}(1260)^{+}
11 Light_I=1_Meson         9000113         pi1(1400)0        \pi_{1}(1400)^{0}
11 Light_I=1_Meson         9000213         pi1(1400)+        \pi_{1}(1400)^{+}
11 Light_I=1_Meson         100113          rho(1450)0        \rho(1450)^{0}
11 Light_I=1_Meson         100213          rho(1450)+        \rho(1450)^{+}
11 Light_I=1_Meson         9010113         pi1(1600)0        \pi_{1}(1600)^{0}
11 Light_I=1_Meson         9010213         pi1(1600)+        \pi_{1}(1600)^{+}
11 Light_I=1_Meson         9020113         a1(1640)0         a_{1}(1640)^{0}
11 Light_I=1_Meson         9020213         a1(1640)+         a_{1}(1640)^{+}
11 Light_I=1_Meson         30113           rho(1700)0        \rho(1700)^{0}
11 Light_I=1_Meson         30213           rho(1700)+        \rho(1700)^{+}
11 Light_I=1_Meson         9030113         rho(1900)0        \rho(1900)^{0}
11 Light_I=1_Meson         9030213         rho(1900)+        \rho(1900)^{+}
11 Light_I=1_Meson         9040113         rho(2150)0        \rho(2150)^{0}
11 Light_I=1_Meson         9040213         rho(2150)+        \rho(2150)^{+}
11 Light_I=1_Meson         115             a2(1320)0         a_{2}(1320)^{0}
11 Light_I=1_Meson         215             a2(1320)+         a_{2}(1320)^{+}
11 Light_I=1_Meson         10115           pi2(1670)0        \pi_{2}(1670)^{0}
11 Light_I=1_Meson         10215           pi2(1670)+        \pi_{2}(1670)^{+}
11 Light_I=1_Meson         9000115         a2(1700)0         a_{2}(1700)^{0}
11 Light_I=1_Meson         9000215         a2(1700)+         a_{2}(1700)^{+}
11 Light_I=1_Meson         9010115         pi2(2100)0        \pi_{2}(2100)^{0}
11 Light_I=1_Meson         9010215         pi2(2100)+        \pi_{2}(2100)^{+}
11 Light_I=1_Meson         117             rho3(1690)0       \rho_{3}(1690)^{0}
11 Light_I=1_Meson         217             rho3(1690)+       \rho_{3}(1690)^{+}
11 Light_I=1_Meson         9000117         rho3(1990)0       \rho_{3}(1990)^{0}
11 Light_I=1_Meson         9000217         rho3(1990)+       \rho_{3}(1990)^{+}
11 Light_I=1_Meson         9010117         rho3(2250)0       \rho_{3}(2250)^{0}
11 Light_I=1_Meson         9010217         rho3(2250)+       \rho_{3}(2250)^{+}
11 Light_I=1_Meson         119             a4(2040)0         a_{4}(2040)^{0}
11 Light_I=1_Meson         219             a4(2040)+         a_{4}(2040)^{+}
################################################################################
12 Light_I=0_Meson         221             eta               \eta
12 Light_I=0_Meson         331             eta'(958)         \eta'(958)
12 Light_I=0_Meson         9000221         f0(600)           f_{0}(600)
12 Light_I=0_Meson         9010221         f0(980)           f_{0}(980)
12 Light_I=0_Meson         100221          eta(1295)         \eta(1295)
12 Light_I=0_Meson         10221           f0(1370)          f_{0}(1370)
12 Light_I=0_Meson         9020221         eta(1405)         \eta(1405)
